id;start_date;end_date;language
1;2020-02-05T18:08:48;2020-02-05T15:59:03;SPANISH
2;2020-02-04T22:58:59;2020-02-05T18:03:24;SPANISH
3;2020-02-05T13:54:18;2020-02-05T00:28:27;FRENCH
4;2020-02-05T05:11:49;2020-02-05T16:43:15;FRENCH
5;2020-02-05T14:42:07;2020-02-05T19:29:06;FRENCH
6;2020-02-05T08:34:28;2020-02-05T20:42:42;FRENCH
7;2020-02-05T10:19:48;2020-02-05T04:10:39;FRENCH
8;2020-02-05T09:16:01;2020-02-05T19:32:09;SPANISH
9;2020-02-05T07:57:10;2020-02-05T04:38:33;SPANISH
10;2020-02-05T16:09:14;2020-02-05T02:43:44;SPANISH
